ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
372	80,48,80	14,8,16	129,46,152	6,2,9	168	99
373	39,30,44	0,4,1	51,37,78	0,4,0	219	99
374	80,48,80	19,0,0	129,46,152	0,0,0	177	99
375	40,31,43	145,77,106	54,39,80	32,0,1	222	99
376	81,50,80	0,0,0	132,49,155	0,0,3	201	99
378	2,1,0	12,11,21	0,0,0	34,21,46	197	99
381	10,0,6	493,335,630	4,1,4	477,370,605	541	99
383	557,469,853	30,32,48	750,440,875	39,23,46	150	99
384	2,1,2	151,97,285	0,1,0	252,107,263	261	99
387	0,0,0	2,0,2	0,1,1	5,1,3	192	99
391	18,11,25	0,0,1	29,17,33	1,1,0	128	99
392	3,2,3	17,14,16	5,3,6	16,15,18	222	99
394	6,7,9	38,18,58	17,3,6	47,36,67	182	99
395	7,4,6	7,5,16	12,6,3	14,2,26	290	99
397	0,0,1	9,2,6	0,0,0	13,9,13	182	99
399	14,13,31	1,2,0	11,23,23	1,0,2	195	99
400	0,0,0	44,39,63	0,1,0	76,39,63	177	99
401	0,1,0	765,482,1024	1,0,1	1095,582,1243	177	99
402	1,1,2	0,0,1	3,2,4	4,1,6	186	99
403	0,0,0	0,0,1	3,1,2	0,0,0	123	99
405	7,3,7	0,0,1	6,3,6	0,0,0	183	99
406	0,2,1	64,69,70	6,0,5	341,122,285	195	99
407	5,6,13	18,19,23	26,9,30	74,18,81	235	99
408	1,0,3	785,743,1349	0,0,0	1151,417,945	188	99
409	48,51,81	70,69,139	61,29,54	298,151,286	189	99
410	96,78,144	9,13,15	220,120,248	26,5,7	173	99
411	96,78,144	3,1,3	221,120,249	6,1,3	176	99
413	2,7,8	17,18,13	2,3,1	29,21,37	178	99
418	2,1,1	64,58,86	1,0,0	102,64,115	241	99
419	30,33,48	852,687,1155	54,31,54	1084,635,1262	326	99
420	1,0,3	0,0,1	1,2,0	4,0,3	203	99
422	1,1,1	2,0,0	0,0,0	1,2,2	189	99
423	1,1,0	283,324,580	0,0,0	622,164,501	251	99
424	3,1,0	1,0,0	1,0,3	0,0,2	545	99
425	2,1,0	0,0,0	3,3,0	2,2,1	405	99
427	0,3,5	48,37,43	1,4,11	62,35,73	179	99
428	0,4,5	285,236,352	3,6,11	387,241,425	194	99
432	4,6,8	14,9,6	5,4,9	31,13,14	416	99
433	4,6,8	8,9,8	5,4,9	34,7,35	413	99
434	4,4,6	236,163,275	1,2,1	281,153,285	179	99
435	0,1,1	2,0,2	0,0,0	2,0,1	174	99
437	10,8,10	95,79,127	12,9,9	112,86,120	429	99
438	1,5,4	20,21,38	4,3,1	24,19,22	329	99
439	0,0,1	182,132,174	0,0,1	185,110,206	280	99
440	1,0,0	189,137,219	1,0,1	207,120,219	195	99
441	0,1,1	166,132,179	1,0,4	186,105,153	194	99
443	4,1,2	130,118,158	2,1,3	170,110,193	183	99
447	171,98,147	38,38,82	86,47,85	104,55,115	227	99
448	4,3,9	122,115,195	12,7,20	182,50,194	169	99
450	2,1,1	40,28,38	0,3,1	28,17,39	212	99
451	1,0,2	135,96,193	3,2,0	206,97,196	338	99
452	0,1,1	868,1023,1820	0,0,0	1430,787,1348	198	99
453	3,2,3	93,96,185	0,0,0	412,95,365	244	99
454	3,0,3	0,0,0	0,0,1	0,0,1	195	99
455	8,6,11	38,24,61	2,4,1	52,36,49	227	99
458	0,0,0	55,38,65	0,1,0	77,37,66	174	99
461	4,6,5	286,183,294	8,2,7	324,231,399	327	99
462	2,3,5	3,14,28	3,1,3	17,18,14	174	99
464	0,0,1	1872,1534,2328	1,1,0	2658,1700,2981	326	99
466	7,13,13	540,457,714	17,12,24	741,523,927	183	99
467	14,15,15	141,106,171	19,13,28	206,113,212	184	99
468	13,4,9	169,137,265	20,17,23	125,77,169	180	99
469	1,2,1	8,8,11	1,0,0	28,29,40	159	99
471	71,63,111	0,0,0	108,63,104	4,0,4	184	99
472	0,0,0	2,1,1	1,0,1	2,3,1	175	99
473	2,2,4	157,149,239	3,5,3	188,108,220	331	99
474	0,0,1	34,20,39	0,0,0	47,20,49	255	99
476	1,1,0	82,75,51	1,1,5	100,99,141	270	99
477	1,0,0	0,0,0	1,1,1	2,1,4	233	99
478	0,0,0	15,10,25	0,1,0	15,13,11	188	99
480	4,4,6	62,33,81	5,6,5	76,28,67	484	99
482	5,3,10	113,97,153	12,5,6	142,111,140	179	99
483	1,0,2	60,54,107	0,0,1	89,54,114	346	99
484	337,211,434	191,122,213	372,177,362	202,94,136	150	99
486	5,1,1	43,39,67	1,0,0	81,24,65	386	99
487	16,8,15	4,3,5	27,3,17	15,5,8	178	99
488	4,5,3	2,0,3	5,5,3	2,1,5	170	99
492	0,1,3	0,0,3	0,1,1	2,1,4	183	99
495	0,1,0	5,4,11	0,0,0	21,15,15	204	99
496	2,1,4	0,0,0	1,0,1	2,2,0	194	99
497	5,2,6	39,28,54	4,1,6	58,18,62	171	99
501	1,0,2	126,115,191	0,2,0	198,132,203	205	99
503	9,11,25	6,7,9	82,28,56	24,9,22	206	99
505	0,0,0	68,60,94	0,1,1	90,54,84	395	99
507	1,0,0	64,71,94	0,1,0	101,51,102	210	99
508	0,0,0	186,129,252	1,0,0	244,158,274	437	99
509	32,20,21	65,68,118	3,12,11	86,55,90	197	99
510	0,3,1	5,0,3	3,2,0	13,1,9	168	99
511	27,24,32	5,0,0	32,7,18	1,0,3	240	99
512	30,28,36	52,34,61	33,8,20	65,28,30	249	99
513	0,0,0	145,140,207	0,1,0	283,212,350	192	99
515	2,1,2	144,105,160	4,7,5	151,112,183	197	99
516	7,10,14	13,12,26	2,3,1	42,21,34	197	99
517	1,0,0	39,22,43	0,0,1	49,26,56	398	99
519	2,0,7	23,22,30	2,0,1	36,16,37	176	99
521	8,5,7	31,23,38	5,6,3	64,40,55	192	99
523	63,38,74	45,23,52	70,43,70	71,22,41	228	99
524	107,68,119	46,30,57	126,75,118	45,28,48	330	99
525	0,0,0	95,92,155	1,0,0	100,81,117	165	99
526	4,10,14	176,99,199	8,9,11	159,94,156	168	99
527	2,4,9	0,1,0	7,5,14	0,0,0	313	99
530	4,0,6	7,7,24	2,2,4	16,5,11	178	99
531	0,1,0	23,11,20	0,0,1	24,11,13	205	99
533	0,0,0	151,142,188	3,0,1	237,129,220	187	99
534	5,2,5	8,6,6	1,1,1	11,1,8	261	99
