ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
590	400,323,521	8,5,20	446,280,449	18,10,23	102	99
591	50,34,74	290,202,382	143,71,174	335,144,368	102	99
593	19,15,31	0,1,0	41,25,41	0,0,1	102	99
594	59,43,63	0,0,0	95,57,127	1,0,3	105	99
597	1,6,1	8,10,18	13,9,4	10,7,11	103	99
598	22,11,13	20,25,34	16,17,21	31,21,41	131	99
599	513,559,612	0,0,0	435,222,495	2,1,0	108	99
600	151,161,241	1,1,2	238,154,342	2,2,1	102	99
601	1529,637,1981	0,0,0	2204,844,1516	82,0,57	117	99
602	623,322,777	21,14,28	1136,405,751	31,20,28	117	99
603	623,320,777	0,0,0	1123,404,744	1,1,0	117	99
604	680,330,821	0,0,0	1142,441,752	1,1,0	138	99
605	57,12,44	0,2,0	19,38,8	0,1,0	120	99
606	663,376,859	1,0,0	1299,495,875	0,0,0	138	99
609	15,11,23	324,270,465	55,20,51	419,246,438	120	99
612	69,35,90	72,53,100	61,31,69	102,70,114	102	99
616	134,108,171	14,8,11	147,93,171	16,7,23	105	99
617	0,0,0	24,17,27	1,0,1	41,17,48	104	99
619	116,83,135	1989,2149,3096	126,75,129	4995,1621,4881	106	99
621	0,0,1	3320,2558,3596	0,0,1	5693,3212,5790	103	99
624	0,0,0	77,43,93	1,0,1	72,28,68	135	99
626	4,0,2	84,57,91	2,1,2	112,73,105	131	99
627	64,84,138	13,9,9	128,61,147	7,0,3	132	99
628	32,44,72	0,0,2	83,29,89	0,0,0	129	99
629	38,16,67	8,3,4	30,20,32	3,2,3	291	99
630	6,8,7	283,205,384	7,5,10	366,174,386	103	99
631	293,218,397	0,0,1	393,185,410	2,0,1	120	99
632	107,85,161	7,6,0	139,77,185	14,12,18	152	99
633	15,9,12	26,21,57	33,17,39	12,9,18	103	99
635	4,4,3	158,113,198	2,2,2	177,65,173	101	99
637	16,10,40	1,0,0	32,13,28	0,0,0	105	99
640	229,192,287	0,0,0	230,172,297	0,0,2	164	99
641	145,133,213	3,2,1	218,120,254	2,1,3	159	99
642	52,54,84	4,3,4	50,29,70	12,1,8	108	99
643	8,4,10	525,369,563	5,2,11	738,514,897	142	99
644	0,0,1	683,502,763	0,0,0	758,495,829	103	99
645	2,0,1	164,92,183	0,1,5	249,133,275	102	99
646	4,1,8	125,94,159	3,1,1	163,73,141	126	99
648	45,60,118	1,0,0	78,49,84	0,0,0	210	99
649	312,250,484	2,7,4	434,246,425	7,3,6	111	99
650	10,7,9	2,2,7	6,11,11	3,2,5	320	99
651	296,237,362	0,0,0	387,201,407	1,0,0	114	99
652	8,8,8	9,4,10	26,17,27	4,14,17	223	99
653	9,9,5	391,327,588	7,1,3	470,336,541	103	99
655	66,48,83	1,1,0	103,90,135	0,0,1	129	99
656	49,38,63	0,0,0	56,40,86	0,0,2	129	99
657	28,24,33	0,0,0	30,21,57	0,0,2	133	99
658	3,2,0	24,16,30	1,0,5	27,19,34	103	99
659	137,99,183	0,0,0	198,118,196	0,0,1	183	99
661	2,1,3	110,83,166	0,3,0	146,88,174	103	99
662	5,3,9	0,0,0	2,3,4	0,0,2	144	99
663	2,6,8	11,9,8	6,6,5	16,4,18	105	99
665	119,88,162	8,9,8	117,104,163	4,4,6	126	99
666	1,6,13	209,176,311	8,1,7	354,120,343	103	99
667	11,11,27	5,3,5	22,10,32	6,3,3	111	99
670	371,332,464	23,24,29	569,334,689	28,7,21	243	99
671	30,13,17	17,5,9	20,4,29	13,2,11	125	99
672	6,5,5	939,682,1161	7,6,1	1121,638,1242	174	99
673	180,118,224	0,1,2	180,86,195	2,4,4	136	99
674	4,7,18	33,10,28	21,16,29	11,11,12	103	99
675	5,0,1	29,26,46	2,0,0	23,22,37	154	99
676	1,0,0	30,15,23	0,1,0	26,12,14	156	99
